taxon,Locality,institution,ID,Sex,dorsal_color,ventral_color,dorsal-ventral_color_transition,ventral_tail_color,Chin_color,dorsal_scale_rows_anterior (10 ventrals in),dorsal_scale_rows_midbody,dorsal_scale_rows_posterior (5 before vent),anal_plate,ventrals,subcaudal_type,subcaudals_left,subcaudals_right,head_length,head_width,head_length-width_ratio,total_length,tail_length ,tail_total_ratio,body_width_midbody1 ,body_width_midbody2 ,body_width_midbody3 ,body_width_midbody_average,radius,circumference,anterior_chin_shield_length_left,anterior_chin_shield_width_left,posterior_chin_shield_length_left,posterior_chin_shield_width_left,intergenial_length_left,intergenial_width_left,anterior_chin_shield_length_right,anterior_chin_shield_width_right,posterior_chin_shield_length_right,posterior_chin_shield_width_right,intergenial_length_right,intergenial_width_right,temporal_scale_formula: ant+post (L | R),supraoculars (L | R),preoculars (L | R),suboculars (L | R),postoculars (L | R),supralabials (L | R),supralabials_contacts_loreal (L | R),supralabials_contact_eye (L | R),infralabials (L | R),infralabials_contact_anterior_chin_shields (L | R),infralabials_contact_posterior_chin_shields (L | R)
Hypsiscopus murphi,Upper Mainland SEA,NCSM,79036,NA (juvenile?),light purple/grey,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe from midpoint of tail to end of tail; subcaudals clean,trimmed,19,19,15,divided,129,divided,39,39,0.04113852,0.031612903,0.004933586,1.143567362,0.143567362,0.000493359,0.032333966,0.032371917,0.031650854,0.032106262,0.016053131,0.100910816,0.012030361,0.004857685,0.008311195,0.003377609,0.003757116,0.002163188,0.011650854,0.005047438,0.009601518,0.003491461,0.004250474,0.00227704,1+2,1,1,0,2,8,2+3,4+5,9,1–4,4+5
Hypsiscopus murphi,Upper Mainland SEA,NCSM,79035,NA,light purple/grey,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,127,divided,33,34,0.052693727,0.031365314,0.006199262,1.128302583,0.128302583,0.000405904,0.031512915,0.032214022,0.032324723,0.03202952,0.01601476,0.100590406,0.015166052,0.004907749,0.009741697,0.004428044,0.004538745,0.001697417,0.015387454,0.005571956,0.011660517,0.005092251,0.006273063,0.002804428,1+2,1,1,0,2,8,2+3,4+5,10,1–5,4+5
Hypsiscopus plumbea,Coastal Mainland SEA,NCSM,98994,male (juvenile?),"charcol grey; single, black scales here and there",cream/tan; faint pigmentation at posterior edge of scales; grey blotches at anterior edge of scales on some scales,gradual,charcol grey mid-ventral stripe with bleeding pigmentation into subcaudauls,bearded,19,19,17,divided,118,divided,38,39,0.056148148,0.034,0.006111111,1.15137037,0.15137037,0.000481481,0.037740741,0.037444444,0.036481481,0.037222222,0.01862963,0.116925926,0.01262963,0.007148148,0.01137037,0.004259259,0.006,0.002518519,0.013777778,0.006481481,0.010592593,0.004148148,0.004777778,0.002555556,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,263721,NA,greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe (starting 6 subcaudals away from the vent); subcaudals clean,trimmed,19,19,15,divided,128,divided,40,40,0.048618182,0.027454545,0.006436364,1.134472727,0.134472727,0.000436364,0.031709091,0.032581818,0.031090909,0.031781818,0.031818182,0.031563636,0.010981818,0.005781818,0.009781818,0.003781818,0.004254545,0.001709091,0.010763636,0.003709091,0.009672727,0.003090909,0.003818182,0.002145455,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NCSM,78626,NA (juvenile?),light purple/grey; some random charcoal grey scales and splotches,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; anterior-half of subcaudals clean,trimmed,19,19,15,divided,128,divided,33,33,0.051672598,0.029181495,0.006298932,1.119822064,0.119822064,0.000391459,0.032989324,0.033487544,0.033131673,0.033202847,0.016619217,0.10430605,0.012562278,0.003985765,0.009679715,0.003736655,0.005160142,0.000960854,0.013024911,0.005551601,0.009359431,0.004021352,0.00430605,0.001779359,1+2,1,1,0,1,8,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,Vietnam,ROM,25634,Juvenile?,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,shaved,19,19,17,divided,124,divided,36,36,0.053873239,0.036690141,0.005176056,1.121830986,0.121830986,0.000387324,0.029612676,0.029753521,0.029683099,0.029683099,0.014859155,0.093239437,0.014225352,0.006549296,0.013309859,0.005246479,0.005176056,0.004119718,0.012394366,0.006971831,0.012394366,0.004471831,0.004366197,0.003661972,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,UF,72675,Male,greyish/purple,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe broken/barely present; subcaudals clean,bearded/trimmed?,19,19,17,divided,122,divided,36,35,0.049929577,0.035739437,0.004929577,1.125633803,0.125633803,0.000387324,0.03028169,0.027042254,0.028661972,0.028661972,0.014330986,0.090035211,0.010246479,0.004507042,0.01028169,0.004929577,0.004647887,0.002077465,0.012112676,0.004964789,0.011302817,0.006267606,0.003028169,0.001549296,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NUoL,534,Male,olive greenish/grey,yellow (cream/yellow anteriorly); immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,128,divided,37,38,0.050594406,0.03506993,0.005034965,1.127972028,0.127972028,0.000384615,0.033531469,0.03465035,0.03479021,0.034335664,0.017167832,0.107832168,0.010839161,0.005524476,0.011083916,0.004685315,0.00493007,0.002762238,0.012237762,0.006083916,0.011783217,0.004755245,0.004160839,0.001958042,1+2,1,2 | 1,0,2 | 1,8,2+3,4+5,11 | 10,1–5,4+5
Hypsiscopus murphi,Upper Mainland SEA,NUoL,536,NA (juvenile?),olive greenish/grey,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe starting at subcaudal pair 4 from vent; subcaudals clean,trimmed,19,19,15,divided,127,divided,32,31,0.056075085,0.031331058,0.006109215,1.12443686,0.12443686,0.000375427,0.024982935,0.024982935,0.02443686,0.024812287,0.012389078,0.077918089,0.013720137,0.005767918,0.01109215,0.003959044,0.004266212,0.002286689,0.012798635,0.006177474,0.010409556,0.005051195,0.004334471,0.002320819,1+2,1,1,0,2,8,2+3,4+5,10,1–4,5+6
Hypsiscopus murphi,Vietnam,ROM,32378,male,dark/charcoal grey,cream;immaculate,sharp (between DSR 3 and 4 from ventrals) (but some a tiny bit of bleeding into the light colored lateral scales),charcol grey mid-ventral stripe; a bit choppy though (not continuous); subcaudals are more clean but still have SOME bleeding between the anterior and posterior parts of the subcaudals,lightly bearded? (but more pigmentation on ventral parts of the infralabials),19,19,15,divided,127,divided,37,37,0.050869965,0.034696449,0.005005278,1.130443665,0.130443665,0.000408594,0.037624706,0.03735231,0.037182063,0.03738636,0.01869318,0.117436753,0.015152031,0.005754367,0.013381457,0.005277674,0.005413872,0.001498178,0.014232694,0.005447921,0.012155674,0.004732882,0.004596684,0.00204297,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
