species,V1,V2
Hypsiscopus murphi,-0.235121389,0.01023398
Hypsiscopus murphi,-0.162483828,-0.022064
Hypsiscopus plumbea,-0.131719017,0.079009244
Hypsiscopus murphi,-0.239722852,0.039071806
Hypsiscopus murphi,-0.197637189,-0.035308195
Hypsiscopus murphi,-0.103483922,0.037469175
Hypsiscopus murphi,-0.150731754,0.048372909
Hypsiscopus murphi,-0.145888557,-0.000854288
Hypsiscopus murphi,-0.166461979,-0.036048331
Hypsiscopus murphi,-0.094232732,-0.008312077
Hypsiscopus murphi,-0.15487777,0.000379927
Hypsiscopus murphi,-0.160305342,-0.010635258
Hypsiscopus murphi,-0.146508724,-0.004405162
Hypsiscopus murphi,-0.095134963,0.025180028
Hypsiscopus murphi,-0.070347163,-0.03946865
Hypsiscopus murphi,-0.044686953,-0.058911604
Hypsiscopus murphi,-0.131706419,0.021157588
Hypsiscopus murphi,-0.061876769,-0.005006227
Hypsiscopus murphi,-0.117577709,0.038963945
Hypsiscopus plumbea,0.013378422,0.020564015
Hypsiscopus murphi,0.001189202,-0.022719509
Hypsiscopus murphi,0.006246722,0.003861615
Hypsiscopus murphi,-0.095905253,0.03765394
Hypsiscopus murphi,-0.13359967,-0.022851303
Hypsiscopus murphi,-0.077650129,-0.054297716
Hypsiscopus plumbea,-0.110875828,0.138490994
Hypsiscopus murphi,-0.135040398,0.038945321
Hypsiscopus murphi,-0.108254017,0.004415758
Hypsiscopus plumbea,-0.074947914,0.048541437
Hypsiscopus murphi,-0.083486373,-0.012681665
Hypsiscopus murphi,-0.028916442,-0.015875314
Hypsiscopus murphi,-0.036889533,0.008767323
Hypsiscopus plumbea,-0.034691993,0.106488827
Hypsiscopus murphi,-0.074794021,-0.034732449
Hypsiscopus murphi,-0.1207185,-0.034914994
Hypsiscopus murphi,-0.06808138,0.03475915
Hypsiscopus plumbea,0.077277566,0.001103567
Hypsiscopus murphi,-0.044142925,0.01585147
Hypsiscopus murphi,0.036250658,-0.062532431
Hypsiscopus murphi,-0.044040057,0.021592228
Hypsiscopus murphi,-0.060359856,-0.010337806
Hypsiscopus murphi,-0.049608761,-0.016607768
Hypsiscopus murphi,-0.00727876,-0.028360525
Hypsiscopus murphi,-0.017631263,-0.032971298
Hypsiscopus murphi,-0.095569952,-0.04139875
Hypsiscopus murphi,0.077841359,-0.072245622
Hypsiscopus murphi,0.009613257,0.022344937
Hypsiscopus murphi,-0.149939872,0.016867175
Hypsiscopus plumbea,0.066957207,0.07941968
Hypsiscopus murphi,0.024514214,0.004503208
Hypsiscopus murphi,0.048841288,0.003725355
Hypsiscopus murphi,0.017546842,-0.012067553
Hypsiscopus plumbea,0.070477381,0.080110924
Hypsiscopus murphi,0.106235263,-0.060718014
Hypsiscopus murphi,0.091067633,-0.064212736
Hypsiscopus murphi,0.010441861,0.009928186
Hypsiscopus murphi,0.052542276,-0.053557513
Hypsiscopus murphi,0.034138595,-0.027574091
Hypsiscopus plumbea,0.015566593,-0.013730728
Hypsiscopus murphi,0.112504063,-0.047184532
Hypsiscopus murphi,0.057502718,-0.034056507
Hypsiscopus murphi,0.132551335,-0.003044595
Hypsiscopus plumbea,0.150489028,0.025551068
Hypsiscopus murphi,0.077573016,-0.040367406
Hypsiscopus plumbea,0.015940965,-0.018842543
Hypsiscopus murphi,0.042382377,-0.039453296
Hypsiscopus murphi,0.137227415,-0.093529018
Hypsiscopus murphi,0.023409448,-0.046377348
Hypsiscopus murphi,0.170188773,-0.026067945
Hypsiscopus murphi,0.011750784,-0.026396279
Hypsiscopus plumbea,0.273800355,0.001287749
Hypsiscopus murphi,0.175931126,-0.097860342
Hypsiscopus plumbea,0.263711785,0.039030582
Hypsiscopus plumbea,0.121158327,0.107430954
Hypsiscopus plumbea,0.227801686,0.086244845
Hypsiscopus plumbea,0.235274435,0.095900682
Hypsiscopus plumbea,0.408906109,0.049774822
Hypsiscopus plumbea,0.180554207,0.037137382
Hypsiscopus plumbea,0.238700564,0.017923306
Hypsiscopus murphi,0.147695998,-0.103108006
Hypsiscopus plumbea,0.297747076,0.033634294
