species,V1,V2
Hypsiscopus murphi,-0.072805119,-0.007571064
Hypsiscopus murphi,0.014644524,-0.095608999
Hypsiscopus plumbea,0.097513481,0.002563337
Hypsiscopus murphi,-0.103422638,0.044746573
Hypsiscopus murphi,-0.04843608,-0.047086754
Hypsiscopus murphi,0.060176957,-0.083892218
Hypsiscopus murphi,-0.013461578,-0.024982998
Hypsiscopus murphi,0.01250335,-0.038035258
Hypsiscopus murphi,-0.03285495,-0.094313277
Hypsiscopus murphi,0.060603443,-0.040098654
Hypsiscopus murphi,-0.009695119,-0.02204571
Hypsiscopus murphi,-0.053911192,-0.058102622
Hypsiscopus murphi,-0.022663513,-0.065101628
Hypsiscopus murphi,0.09188262,0.008525107
Hypsiscopus murphi,0.031696335,-0.075034137
Hypsiscopus murphi,0.071768632,-0.048595946
Hypsiscopus murphi,-0.016971525,-0.034973209
Hypsiscopus murphi,0.047501311,-0.030693795
Hypsiscopus murphi,-0.022279473,-0.00704819
Hypsiscopus plumbea,0.231253989,0.020188491
Hypsiscopus murphi,0.166530459,-0.078655319
Hypsiscopus murphi,0.145754698,-0.000368017
Hypsiscopus murphi,-0.00172335,-0.034025865
Hypsiscopus murphi,-0.06156245,-0.049657935
Hypsiscopus murphi,-0.031272419,-0.05891065
Hypsiscopus plumbea,0.030200527,0.104241947
Hypsiscopus murphi,-0.082616508,0.072897659
Hypsiscopus murphi,-0.062526148,0.027193097
Hypsiscopus plumbea,-0.010514423,0.000661164
Hypsiscopus murphi,-0.008049508,-0.021236759
Hypsiscopus murphi,0.050559519,-0.033058295
Hypsiscopus murphi,0.033468239,-0.044668912
Hypsiscopus plumbea,0.044120435,0.138165534
Hypsiscopus murphi,-0.032229044,-0.033091493
Hypsiscopus murphi,-0.08759258,-0.052054797
Hypsiscopus murphi,-0.051233425,0.050730669
Hypsiscopus plumbea,0.175849795,-0.075246297
Hypsiscopus murphi,-0.043542069,-0.031725105
Hypsiscopus murphi,0.069609048,-0.058079648
Hypsiscopus murphi,-0.046813072,0.043978583
Hypsiscopus murphi,-0.032232338,-0.035591859
Hypsiscopus murphi,-0.027315716,0.004306977
Hypsiscopus murphi,0.019299924,0.005373899
Hypsiscopus murphi,-0.013002167,-0.00689334
Hypsiscopus murphi,-0.138542731,-0.005925427
Hypsiscopus murphi,0.104713912,-0.076850168
Hypsiscopus murphi,0.043685421,0.004955485
Hypsiscopus murphi,-0.221284709,-0.000587152
Hypsiscopus plumbea,0.081917488,0.077581004
Hypsiscopus murphi,0.020162794,-0.012161738
Hypsiscopus murphi,0.009201684,0.046853566
Hypsiscopus murphi,-0.035625513,-0.023364948
Hypsiscopus plumbea,0.035183723,0.134224655
Hypsiscopus murphi,0.054441979,-0.066697058
Hypsiscopus murphi,0.036502452,-0.083282378
Hypsiscopus murphi,-0.067713648,0.070357889
Hypsiscopus murphi,-0.013157757,-0.035587485
Hypsiscopus murphi,-0.033431249,-0.024278882
Hypsiscopus plumbea,-0.022915757,-0.012039048
Hypsiscopus murphi,0.054238977,-0.004967934
Hypsiscopus murphi,-0.042650385,-0.000111984
Hypsiscopus murphi,0.049398325,0.057819885
Hypsiscopus plumbea,0.083827647,0.027031116
Hypsiscopus murphi,-0.010485908,-0.056216529
Hypsiscopus plumbea,-0.098592395,-0.002182605
Hypsiscopus murphi,-0.083858658,-0.002666609
Hypsiscopus murphi,-0.044094107,0.003505291
Hypsiscopus murphi,-0.161558934,-0.015755464
Hypsiscopus murphi,-0.005395959,0.072643313
Hypsiscopus murphi,-0.181998464,0.000214204
Hypsiscopus plumbea,0.108501307,0.031028112
Hypsiscopus murphi,-0.027551969,-0.025453432
Hypsiscopus plumbea,0.08230825,0.101239537
Hypsiscopus plumbea,-0.076614144,0.138565121
Hypsiscopus plumbea,0.041946173,0.15071192
Hypsiscopus plumbea,0.038248332,0.148650549
Hypsiscopus plumbea,0.219021515,0.058058159
Hypsiscopus plumbea,-0.032965523,0.057409348
Hypsiscopus plumbea,-0.025372237,0.031119247
Hypsiscopus murphi,-0.172317106,-0.024764796
Hypsiscopus plumbea,-0.033383707,0.123800952
