species,V1,V2
Hypsiscopus plumbea,-0.103324941,-0.015546992
Hypsiscopus plumbea,-0.113408401,0.07351075
Hypsiscopus plumbea,-0.05905627,0.043196395
Hypsiscopus murphi,0.077343294,-0.040467012
Hypsiscopus murphi,0.00814703,-0.02293228
Hypsiscopus murphi,0.01536106,-0.022776919
Hypsiscopus murphi,0.012853214,-0.001239503
Hypsiscopus murphi,-0.06009645,-0.059253669
Hypsiscopus murphi,0.045896448,0.01530016
Hypsiscopus murphi,0.060464224,-0.048910347
Hypsiscopus murphi,0.043394666,-0.05506907
Hypsiscopus murphi,0.115893547,-0.058581675
Hypsiscopus murphi,0.087402377,-0.03662574
Hypsiscopus murphi,-0.070413664,-0.055782279
Hypsiscopus murphi,0.028706017,-0.052185688
Hypsiscopus murphi,0.000919341,-0.074321947
Hypsiscopus murphi,-0.032144354,-0.095721362
Hypsiscopus murphi,-0.017543329,-0.035869473
Hypsiscopus murphi,-0.002602844,-0.086770046
Hypsiscopus murphi,0.002125023,-0.103274001
Hypsiscopus murphi,-0.084680924,-0.018876594
Hypsiscopus murphi,0.042981278,-0.051162844
Hypsiscopus murphi,0.023585513,-0.052225502
Hypsiscopus murphi,0.151298343,0.007678997
Hypsiscopus murphi,0.00630337,0.011812715
Hypsiscopus plumbea,-0.198516019,-0.06961926
Hypsiscopus plumbea,-0.183404547,0.073132877
Hypsiscopus plumbea,-0.240499099,0.016882982
Hypsiscopus murphi,0.01371749,-0.036174992
Hypsiscopus murphi,-0.115746198,-0.024536591
Hypsiscopus murphi,-0.051868767,-0.001680985
Hypsiscopus murphi,-0.04867415,-0.007716654
Hypsiscopus murphi,-0.04332299,-0.04017115
Hypsiscopus murphi,-0.10853863,-0.003787777
Hypsiscopus murphi,-0.050245078,0.007090972
Hypsiscopus murphi,0.041074881,-0.039185681
Hypsiscopus murphi,-0.013324318,0.001196902
Hypsiscopus murphi,0.017471158,-0.038129114
Hypsiscopus murphi,-0.060709093,-0.023812255
Hypsiscopus murphi,-0.048455084,0.031994816
Hypsiscopus murphi,-0.179372305,-0.065171554
Hypsiscopus murphi,-0.040380281,-0.035947341
Hypsiscopus murphi,-0.081201352,-0.024245251
Hypsiscopus murphi,-0.145736496,0.025381835
Hypsiscopus murphi,-0.024273927,0.029638833
Hypsiscopus murphi,-0.118478994,-0.103555675
Hypsiscopus murphi,0.015000924,-0.005399794
Hypsiscopus murphi,-0.007866158,-0.02953525
Hypsiscopus murphi,-0.074156271,-0.078931727
Hypsiscopus murphi,0.041138121,-0.007789766
Hypsiscopus murphi,0.007161248,-0.021940193
Hypsiscopus murphi,0.052475618,0.040212853
Hypsiscopus murphi,0.036628892,0.001544838
Hypsiscopus murphi,-0.053225587,-0.059689879
Hypsiscopus murphi,0.033965645,-0.035236551
Hypsiscopus murphi,0.162875416,-0.007080183
Hypsiscopus murphi,0.009944048,-0.021522812
Hypsiscopus murphi,0.176804898,-0.01434592
Hypsiscopus murphi,0.03065174,-0.011967139
Hypsiscopus murphi,0.023831181,-0.023678134
Hypsiscopus murphi,0.058394146,-0.024941323
Hypsiscopus murphi,0.088123468,0.011885146
Hypsiscopus murphi,0.088447489,-0.065091323
Hypsiscopus plumbea,0.026700168,-0.016754019
Hypsiscopus plumbea,0.004020088,-0.013341084
Hypsiscopus murphi,0.22787545,-0.008637413
Hypsiscopus plumbea,0.040763463,0.035411078
Hypsiscopus plumbea,0.041683625,0.041549452
Hypsiscopus plumbea,-0.064448447,0.129051383
Hypsiscopus murphi,0.195201077,8.39E-05
Hypsiscopus murphi,-0.016554611,0.054963147
Hypsiscopus murphi,0.060945166,0.063741187
Hypsiscopus murphi,0.093130034,0.060476282
Hypsiscopus plumbea,-0.034167326,0.119557432
Hypsiscopus plumbea,0.101132393,0.10727784
Hypsiscopus plumbea,-0.030510287,0.0441252
Hypsiscopus plumbea,-0.021468218,0.136610154
Hypsiscopus plumbea,-0.087946762,0.082275774
Hypsiscopus murphi,0.030903661,0.034390721
Hypsiscopus murphi,0.036359273,0.018212683
Hypsiscopus plumbea,0.037513416,0.133882645
Hypsiscopus murphi,0.096321659,0.009082875
Hypsiscopus murphi,0.041907036,0.049535398
Hypsiscopus murphi,0.002981253,0.090191216
Hypsiscopus plumbea,-0.017457993,0.148789054
Hypsiscopus plumbea,-0.022709022,0.13596453
Hypsiscopus murphi,-0.038020321,0.06039519
Hypsiscopus plumbea,0.106730635,0.001181549
