species,V1,V2
Hypsiscopus murphi,-0.086854897,-0.016853881
Hypsiscopus murphi,0.028964429,-0.095832319
Hypsiscopus plumbea,0.110864961,-0.000148038
Hypsiscopus murphi,-0.096085012,0.034478579
Hypsiscopus murphi,-0.035094049,-0.04976402
Hypsiscopus murphi,0.070635868,-0.080868717
Hypsiscopus murphi,-0.011251162,-0.023440592
Hypsiscopus murphi,0.015337838,-0.03638063
Hypsiscopus murphi,-0.007772349,-0.100363818
Hypsiscopus murphi,0.062715908,-0.037304744
Hypsiscopus murphi,-0.007334623,-0.022071524
Hypsiscopus murphi,-0.048070874,-0.057948996
Hypsiscopus murphi,-0.002429091,-0.071497858
Hypsiscopus murphi,0.116278574,0.002864056
Hypsiscopus murphi,0.05344703,-0.076978283
Hypsiscopus murphi,0.082626999,-0.043165491
Hypsiscopus murphi,-0.020454706,-0.036568684
Hypsiscopus murphi,0.045046223,-0.024241897
Hypsiscopus murphi,-0.022100417,-0.010851159
Hypsiscopus plumbea,0.254393467,0.020516128
Hypsiscopus murphi,0.183095004,-0.076240254
Hypsiscopus murphi,0.145839703,0.008819738
Hypsiscopus murphi,-0.012373484,-0.033157916
Hypsiscopus murphi,-0.045600932,-0.053994305
Hypsiscopus murphi,-0.043449705,-0.055474373
Hypsiscopus plumbea,0.046750194,0.090132316
Hypsiscopus murphi,-0.093044374,0.06568421
Hypsiscopus murphi,-0.041068395,0.019871195
Hypsiscopus plumbea,-0.00256534,-0.004062935
Hypsiscopus murphi,-0.008734143,-0.021069315
Hypsiscopus murphi,0.048315863,-0.025617542
Hypsiscopus murphi,0.038657438,-0.042126288
Hypsiscopus plumbea,0.041315163,0.134061976
Hypsiscopus murphi,-0.020411294,-0.034412832
Hypsiscopus murphi,-0.084864416,-0.052130013
Hypsiscopus murphi,-0.032701005,0.042774212
Hypsiscopus plumbea,0.200224214,-0.074202554
Hypsiscopus murphi,-0.061531666,-0.034380406
Hypsiscopus murphi,0.076307613,-0.05068823
Hypsiscopus murphi,-0.048084143,0.043428469
Hypsiscopus murphi,-0.037742864,-0.036426255
Hypsiscopus murphi,-0.01349774,-0.000657541
Hypsiscopus murphi,0.019682455,0.010510927
Hypsiscopus murphi,-0.009110422,-0.00510988
Hypsiscopus murphi,-0.162731309,-0.011078233
Hypsiscopus murphi,0.107160277,-0.06405359
Hypsiscopus murphi,0.053579137,0.004263921
Hypsiscopus murphi,-0.230443472,-0.009385538
Hypsiscopus plumbea,0.089980228,0.079738916
Hypsiscopus murphi,0.014005232,-0.00829348
Hypsiscopus murphi,0.016927569,0.045842604
Hypsiscopus murphi,-0.045956317,-0.02145644
Hypsiscopus plumbea,0.02978085,0.132702522
Hypsiscopus murphi,0.052229585,-0.054546105
Hypsiscopus murphi,0.035626484,-0.071941296
Hypsiscopus murphi,-0.062209318,0.065695159
Hypsiscopus murphi,-0.02144178,-0.028684007
Hypsiscopus murphi,-0.035597057,-0.02130989
Hypsiscopus plumbea,-0.022400573,-0.015670939
Hypsiscopus murphi,0.048063428,0.00322575
Hypsiscopus murphi,-0.048907503,0.000392466
Hypsiscopus murphi,0.040009509,0.058140997
Hypsiscopus plumbea,0.063508378,0.032422658
Hypsiscopus murphi,-0.01633789,-0.051997218
Hypsiscopus plumbea,-0.109037402,-0.007354052
Hypsiscopus murphi,-0.091978047,-0.002010213
Hypsiscopus murphi,-0.066503873,0.0102689
Hypsiscopus murphi,-0.170274478,-0.018669192
Hypsiscopus murphi,-0.008777167,0.07403368
Hypsiscopus murphi,-0.197878239,-0.004476579
Hypsiscopus plumbea,0.112694053,0.039715747
Hypsiscopus murphi,-0.048654968,-0.020636588
Hypsiscopus plumbea,0.06840257,0.106778585
Hypsiscopus plumbea,-0.094126693,0.12863179
Hypsiscopus plumbea,0.023792275,0.14969288
Hypsiscopus plumbea,0.029979314,0.145746092
Hypsiscopus plumbea,0.203413558,0.065284023
Hypsiscopus plumbea,-0.035159169,0.05170059
Hypsiscopus plumbea,-0.040116792,0.030793845
Hypsiscopus murphi,-0.186694799,-0.027682795
Hypsiscopus plumbea,-0.042197441,0.125064507
